sno,Food_description,Energy_kc,Protein_per_wt,Total_fat_per_wt,Carbohydrate_per_wt,Fiber_per_wt,Calcium_per_wt,Copper_per_wt,Iron_per_wt,Magnesium_per_wt,Potassium_per_wt,Zinc_per_wt,Vitamin_A_(IU)_per_wt,Vitamin_D_per_wt,Thiamin_per_wt,Riboflavin_per_wt,Vit_B6_per_wt(Pyridoxine),Vitamin_B12_per_wt,"Folate_per_wt  ",Niacin_per_wt,Pantothenic_acid_per_wt,Vitamin_C_per_wt,Vitamin_E_per_wt,Vitamin_K_per_wt,Fa_sat_per_wt,Monounsaturated_per_wt,Fa_poly_per_wt,Total_Sugar
,,(Calories),gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(IU)_per_100_gm,IU_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,(mcg)_per_100_gm,mg_per_100_gm,Mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm
01001,"BUTTER,WITH SALT",717,0.85,81.11,0.06,0,24,0.016,0.16,2,26,0.05,3058,56,0.005,0.034,0.003,0.125,3,0.042,0.11,0,1.58,7,50.489,23.426,1.832,0
01002,"BUTTER,WHIPPED,WITH SALT",716.818,0.85,81.11,0.06,0,23.5,0.016,0.16,2.18,26,0.05,3058,0,0.005,0.034,0.003,0.125,2.8,0.042,0.11,0,1.58,0,50.489,23.426,1.832,0
01003,"BUTTER OIL,ANHYDROUS",876,0.28,99.48,0,0,3.9,0.001,0.002,0.44,4.9,0.01,3750,0,0.001,0.005,0.001,0.012,0.2,0.003,0.01,0,2.8,0,61.924,28.732,2.247,0
01004,"CHEESE,BLUE",353.058,21.4,28.74,2.34,0,527.6,0.04,0.31,22.93,256.3,2.66,721,0,0.029,0.382,0.166,1.217,36.4,1.016,1.729,0,0.64,0,18.669,7.778,0.536,0
01005,"CHEESE,BRICK",370.919,23.24,29.68,2.79,0,673.7,0.024,0.43,24.32,135.8,2.6,1083,0,0.014,0.351,0.065,1.257,20.3,0.118,0.288,0,0.5,0,18.764,8.598,0.491,0
01006,"CHEESE,BRIE",333.651,20.75,27.68,0.45,0,184,0.019,0.5,20,152,2.38,667,0,0.07,0.52,0.235,1.65,65,0.38,0.69,0,0.655,0,17.41,8.013,0.513,0
01007,"CHEESE,CAMEMBERT",299.571,19.8,24.26,0.46,0,387.6,0.021,0.33,19.97,186.6,2.38,923,12,0.028,0.488,0.227,1.296,62.2,0.63,1.364,0,0.655,0,15.259,7.023,0.45,0
01008,"CHEESE,CARAWAY",376.029,25.18,29.2,3.06,0,673.3,0.024,0.64,22.1,93,2.94,1054,0,0.031,0.45,0.074,0.27,18.2,0.18,0.19,0,0,0,18.584,8.275,0.508,0
01009,"CHEESE,CHEDDAR",402.577,24.9,33.14,1.28,0,721.3,0.031,0.68,27.78,98.4,3.11,1059,12,0.027,0.375,0.074,0.827,18.2,0.08,0.413,0,0.36,3,21.092,9.391,0.577,0
01010,"CHEESE,CHESHIRE",387.262,23.37,30.6,4.78,0,643,0.042,0.21,20.9,95,2.79,985,0,0.046,0.293,0.074,0.827,18.2,0.08,0.413,0,0,0,19.475,8.671,0.533,0
01011,"CHEESE,COLBY",393.648,23.76,32.11,2.57,0,684.6,0.042,0.76,25.82,126.5,3.07,1034,0,0.015,0.375,0.079,0.826,18.2,0.093,0.21,0,0.35,0,20.218,9.28,0.676,0
01012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",103.347,12.49,4.51,2.68,0,60,0.028,0.14,5.26,84.3,0.37,163,0,0.021,0.163,0.067,0.623,12.2,0.126,0.213,0,0.122,0,2.853,1.285,0.099,0
01013,"CHEESE,COTTAGE,CRMD,W_per_FRUIT",123.63,9.9,3.4,13.3,0,47.6,0.028,0.11,4.17,66.9,0.29,123,0,0.017,0.129,0.053,0.494,9.7,0.1,0.168,0,0.092,0,2.151,0.969,0.075,0
01014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",84.594,17.27,0.42,1.85,0,31.7,0.028,0.23,3.94,32.4,0.47,30,0,0.025,0.142,0.082,0.825,14.8,0.155,0.163,0,0.11,0,0.273,0.11,0.011,0
01015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",89.683,13.74,1.93,3.63,0,68.5,0.028,0.16,6,96.2,0.42,70,0,0.024,0.185,0.076,0.712,13.1,0.144,0.242,0,0.056,0,1.221,0.55,0.042,0
01016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72.397,12.39,1.02,2.72,0,60.9,0.028,0.14,5.34,85.5,0.38,37,0,0.021,0.165,0.068,0.633,12.4,0.128,0.215,0,0.11,0,0.645,0.291,0.022,0
01017,"CHEESE,CREAM",349.04,7.55,34.87,2.66,0,79.9,0.016,1.2,6.44,119.4,0.54,1427,0,0.017,0.197,0.047,0.424,13.2,0.101,0.271,0,0.941,0,21.966,9.838,0.774,0
